congID;details;id;name;year
106;Mississippi Republican, Senate;N00003329;Lott, Trent;2000
106;New York Democrat, District 18;N00001024;Lowey, Nita M;2000
106;Oklahoma Republican, District 6;N00005559;Lucas, Frank D;2000
106;Kentucky Democrat, District 4;N00003444;Lucas, Ken;2000
106;Indiana Republican, Senate;N00001764;Lugar, Richard G;2000
106;Minnesota Democrat, District 6;N00004440;Luther, Bill;2000
106;Florida Republican, Senate;N00001800;Mack, Connie;2000
106;New York Democrat, District 14;N00000078;Maloney, Carolyn B;2000
106;Connecticut Democrat, District 5;N00000637;Maloney, Jim;2000
106;Illinois Republican, District 16;N00004905;Manzullo, Don;2000
106;Massachusetts Democrat, District 7;N00000270;Markey, Ed;2000
106;California Republican, District 31;N00006949;Martinez, Matthew G;2000
106;Pennsylvania Democrat, District 20;N00001339;Mascara, Frank;2000
106;California Democrat, District 5;N00007571;Matsui, Robert T;2000
106;Arizona Republican, Senate;N00006424;McCain, John;2000
106;New York Democrat, District 4;N00001148;McCarthy, Carolyn;2000
106;Missouri Democrat, District 5;N00005119;McCarthy, Karen;2000
106;Florida Republican, District 8;N00002791;McCollum, Bill;2000
106;Kentucky Republican, Senate;N00003389;McConnell, Mitch;2000
106;Louisiana Republican, District 4;N00005414;McCrery, Jim;2000
106;Washington Democrat, District 7;N00009829;McDermott, Jim;2000
106;Massachusetts Democrat, District 3;N00000179;McGovern, James P;2000
106;New York Republican, District 24;N00001276;McHugh, John M;2000
106;Colorado Republican, District 3;N00006213;McInnis, Scott;2000
106;Indiana Republican, District 2;N00003878;McIntosh, David M;2000
106;North Carolina Democrat, District 7;N00002356;McIntyre, Mike;2000
106;California Republican, District 25;N00006882;McKeon, Buck;2000
106;Georgia Democrat, District 4;N00002511;McKinney, Cynthia;2000
106;New York Democrat, District 21;N00001214;McNulty, Michael R;2000
106;Massachusetts Democrat, District 5;N00000205;Meehan, Marty;2000
106;Florida Democrat, District 17;N00002856;Meek, Carrie;2000
106;New York Democrat, District 6;N00001171;Meeks, Gregory W;2000
106;New Jersey Democrat, District 13;N00000699;Menendez, Robert;2000
106;Washington Republican, District 2;N00007895;Metcalf, Jack;2000
106;Florida Republican, District 7;N00002793;Mica, John L;2000
106;Maryland Democrat, Senate;N00001945;Mikulski, Barbara A;2000
106;California Democrat, District 37;N00006811;Millender-McDonald, Juanita;2000
106;Florida Republican, District 13;N00002963;Miller, Dan;2000
106;California Republican, District 41;N00006954;Miller, Gary;2000
106;California Democrat, District 7;N00007390;Miller, George;2000
106;Georgia Democrat, Senate;N00013436;Miller, Zell;2000
106;Minnesota Democrat, District 2;N00004547;Minge, David;2000
106;Hawaii Democrat, District 2;N00004229;Mink, Patsy T;2000
106;Massachusetts Democrat, District 9;N00000256;Moakley, Joe;2000
106;West Virginia Democrat, District 1;N00002214;Mollohan, Alan B;2000
106;Kansas Democrat, District 3;N00005233;Moore, Dennis;2000
106;Kansas Republican, District 1;N00005282;Moran, Jerry;2000
106;Virginia Democrat, District 8;N00002083;Moran, Jim;2000
106;Maryland Republican, District 8;N00001805;Morella, Connie;2000
106;New York Democrat, Senate;N00000968;Moynihan, Daniel Patrick;2000
106;Alaska Republican, Senate;N00008006;Murkowski, Frank H;2000
106;Washington Democrat, Senate;N00007876;Murray, Patty;2000
106;Pennsylvania Democrat, District 12;N00001408;Murtha, John P;2000
106;North Carolina Republican, District 9;N00002327;Myrick, Sue;2000
106;New York Democrat, District 8;N00000939;Nadler, Jerrold;2000
106;California Democrat, District 34;N00006789;Napolitano, Grace;2000
106;Massachusetts Democrat, District 2;N00000153;Neal, Richard E;2000
106;Washington Republican, District 5;N00008166;Nethercutt, George R Jr;2000
106;Ohio Republican, District 18;N00003532;Ney, Bob;2000
106;Oklahoma Republican, Senate;N00005617;Nickles, Don;2000
106;Kentucky Republican, District 3;N00003392;Northup, Anne M;2000
106;District of Columbia Democrat, At Large;N00001692;Norton, Eleanor Holmes;2000
106;Georgia Republican, District 10;N00002630;Norwood, Charles W;2000
106;Iowa Republican, District 2;N00004255;Nussle, Jim;2000
106;Minnesota Democrat, District 8;N00001806;Oberstar, James L;2000
106;Wisconsin Democrat, District 7;N00004394;Obey, David R;2000
106;Massachusetts Democrat, District 1;N00000143;Olver, John W;2000
