id;link;name;year
N00033410;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033410&year=2015;Markwayne Mullin (R-Okla);2015
N00024790;https://www.opensecrets.org/personal-finances/net-worth?cid=N00024790&year=2015;Jeanne Shaheen (D-NH);2015
N00027522;https://www.opensecrets.org/personal-finances/net-worth?cid=N00027522&year=2015;Dean Heller (R-Nev);2015
N00027509;https://www.opensecrets.org/personal-finances/net-worth?cid=N00027509&year=2015;Scott Tipton (R-Colo);2015
N00001783;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001783&year=2015;John D Dingell (D-Mich);2015
N00006460;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006460&year=2015;David Schweikert (R-Ariz);2015
N00031557;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031557&year=2015;Dennis Heck (D-Wash);2015
N00002793;https://www.opensecrets.org/personal-finances/net-worth?cid=N00002793&year=2015;John L Mica (R-Fla);2015
N00033310;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033310&year=2015;Brad Wenstrup (R-Ohio);2015
N00029070;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029070&year=2015;Jim Himes (D-Conn);2015
N00033399;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033399&year=2015;George Holding (R-NC);2015
N00036149;https://www.opensecrets.org/personal-finances/net-worth?cid=N00036149&year=2015;Debbie Dingell (D-Mich);2015
N00031545;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031545&year=2015;Bill Flores (R-Texas);2015
N00004357;https://www.opensecrets.org/personal-finances/net-worth?cid=N00004357&year=2015;Paul Ryan (R-Wis);2015
N00031672;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031672&year=2015;Blake Farenthold (R-Texas);2015
N00030717;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030717&year=2015;Ami Bera (D-Calif);2015
N00000751;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000751&year=2015;Bill Pascrell Jr. (D-NJ);2015
N00012508;https://www.opensecrets.org/personal-finances/net-worth?cid=N00012508&year=2015;Tom Carper (D-Del);2015
N99999871;https://www.opensecrets.org/personal-finances/net-worth?cid=N99999871&year=2015;Neil Gorsuch;2015
N00003225;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003225&year=2015;Steve Cohen (D-Tenn);2015
N00026686;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026686&year=2015;Al Green (D-Texas);2015
N00033217;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033217&year=2015;Elizabeth Esty (D-Conn);2015
N00001811;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001811&year=2015;Lamar Smith (R-Texas);2015
N00028463;https://www.opensecrets.org/personal-finances/net-worth?cid=N00028463&year=2015;Phil Roe (R-Tenn);2015
N00034128;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034128&year=2015;Matt Cartwright (D-Pa);2015
N00005293;https://www.opensecrets.org/personal-finances/net-worth?cid=N00005293&year=2015;Brad Ashford (D-Neb);2015
N00031011;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031011&year=2015;Bill Owens (D-NY);2015
N00009922;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009922&year=2015;Harry Reid (D-Nev);2015
N00007099;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007099&year=2015;Ken Calvert (R-Calif);2015
N00030071;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030071&year=2015;Kurt Schrader (D-Ore);2015
N00030191;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030191&year=2015;Dina Titus (D-Nev);2015
N00026341;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026341&year=2015;Jim Costa (D-Calif);2015
